pair_id,implementation,left_case,right_case,pair_role,predeclared_Y_relation,numeric_relation_design,scientific_purpose,replacement_if_failed,status,Y_equal,O1_equal,O2_equal,O3_equal,O2_informative_split,O3_informative_split,construction_result,separating_evidence
PA05,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,AB0,AB1,NONCOLLISION_CONTROL,DIFFERENT,NONCOLLISION_MAIN_H_VS_BACKUP_K,source switch with different values,PROHIBITED,EVALUABLE,False,False,False,False,False,False,MATCHES_PREDECLARED_NUMERIC_RELATION,returned 1.2e30 versus 1e30
PA06,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,AB1,AB2,SOURCE_COLLISION,DIFFERENT,COLLISION_BACKUP_K_VS_MAIN_K,same output across source change,PROHIBITED,EVALUABLE,False,True,False,False,True,False,MATCHES_PREDECLARED_NUMERIC_RELATION,isFromMainFeed false versus true
PA07,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,AA2,AB1,STABILITY_CONTROL,SAME,COLLISION_BACKUP_K,different episodes with same reference class,PROHIBITED,EVALUABLE,True,True,False,False,False,False,MATCHES_PREDECLARED_NUMERIC_RELATION,main/raw cache values differ despite same Y and same backup return
PF01,FATHOM_DELAYED_PRICE_FEED,FA0,FA1,STABLE_PROMOTION_CONTROL,SAME,COLLISION_STABLE_K,repeat transition is not an independent sample,PROHIBITED,NOT_COMPARABLE_TECHNICAL_MISSINGNESS,NA,NA,NA,NA,False,False,NOT_EVALUABLE,Endpoint absent/invalid; not a negative result
PF02,FATHOM_DELAYED_PRICE_FEED,FA1,FA2,FAILURE_COLLISION,DIFFERENT,COLLISION_RETAINED_K,successful promotion versus caught error,PROHIBITED,NOT_COMPARABLE_TECHNICAL_MISSINGNESS,NA,NA,NA,NA,False,False,NOT_EVALUABLE,Endpoint absent/invalid; not a negative result
PF03,FATHOM_DELAYED_PRICE_FEED,FA2,FA3,POST_FAILURE_COLLISION,DIFFERENT,COLLISION_RETAINED_K,caught error versus later valid promotion; not called recovery,PROHIBITED,NOT_COMPARABLE_TECHNICAL_MISSINGNESS,NA,NA,NA,NA,False,False,NOT_EVALUABLE,Endpoint absent/invalid; not a negative result
PF04,FATHOM_DELAYED_PRICE_FEED,FB0,FB1,DELAYED_COLLISION,DIFFERENT,COLLISION_DELAYED_K,latest changes while returned delayed value remains K,PROHIBITED,NOT_COMPARABLE_TECHNICAL_MISSINGNESS,NA,NA,NA,NA,False,False,NOT_EVALUABLE,Endpoint absent/invalid; not a negative result
PF05,FATHOM_DELAYED_PRICE_FEED,FB1,FB2,NONCOLLISION_CONTROL,DIFFERENT,NONCOLLISION_K_VS_H,delayed value advances,PROHIBITED,NOT_COMPARABLE_TECHNICAL_MISSINGNESS,NA,NA,NA,NA,False,False,NOT_EVALUABLE,Endpoint absent/invalid; not a negative result
PF06,FATHOM_DELAYED_PRICE_FEED,FC0,FC1,DELAY_BOUNDARY,DIFFERENT,COLLISION_STABLE_K,899 versus 900 eligibility,PROHIBITED,EVALUABLE,False,True,False,False,True,False,MATCHES_PREDECLARED_NUMERIC_RELATION,delayed/latest timestamps and lastUpdateTS change
PF07,FATHOM_DELAYED_PRICE_FEED,FC2,FC3,PUBLIC_VALIDITY_COLLISION,DIFFERENT,COLLISION_SAME_DELAYED_RECORD,independent time predicate changes retained-record acceptance; tests whether O2 validity resolves value equality,PROHIBITED,EVALUABLE,False,True,False,False,True,False,MATCHES_PREDECLARED_NUMERIC_RELATION,isPriceFresh/isPriceOk true versus false
PF08,FATHOM_DELAYED_PRICE_FEED,FA1,FB1,LATEST_STATE_COLLISION,DIFFERENT,COLLISION_RETURN_K,equal delayed return but latest state differs,PROHIBITED,NOT_COMPARABLE_TECHNICAL_MISSINGNESS,NA,NA,NA,NA,False,False,NOT_EVALUABLE,Endpoint absent/invalid; not a negative result
